Phrase,Sentiment,Processed_Content
would have a hard time sitting through this one,0,'would hard time sitting one '
have a hard time sitting through this one,0,'have hard time sitting one '
Aggressive self-glorification and a manipulative whitewash,0,'aggressive self clarification manipulative whitewash '
self-glorification and a manipulative whitewash,0,'self clarification manipulative whitewash '
Trouble Every Day is a plodding mess .,0,'trouble every day padding mess . '
is a plodding mess,0,'is padding mess '
plodding mess,0,'padding mess '
could hate it for the same reason,0,'could hate reason '
hate it,0,'hate '
hate,0,'hate '
"is Oedekerk 's realization of his childhood dream to be in a martial-arts flick , and proves that sometimes the dreams of youth should remain just that",0,"`` oedekerk 's realization childhood dream martial arts flick , proves sometimes dreams youth remain ''"
baseball movies that try too hard to be mythic,0,'baseball movies try hard mythic '
"Hampered -- no , paralyzed -- by a self-indulgent script ... that aims for poetry and ends up sounding like satire .",0,"'hampered , paralyzed self insurgent script . aims poetry ends sounding like satire . '"
a self-indulgent script,0,' self insurgent script '
"There 's very little sense to what 's going on here ,",0,"`` 's little sense 's going , ''"
avoid,0,'avoid '
almost feels as if the movie is more interested in entertaining itself than in amusing us .,0,'almost feels movie interested entertaining amusing us . '
The movie 's progression into rambling incoherence gives new meaning to the phrase ` fatal script error . ',0,`` movie 's progression rambling coherence gives new meaning phrase fatal script error . ' ''
The movie 's progression into rambling incoherence,0,`` movie 's progression rambling coherence ''
gives new meaning to the phrase ` fatal script error . ',0,`` gives new meaning phrase fatal script error . ' ''
` fatal script error,0,' fatal script error '
fatal script error,0,'fatal script error '
"Tartakovsky 's team has some freakish powers of visual charm , but the five writers slip into the modern rut of narrative banality .",0,"`` tartakovsky 's team freaks powers visual charm , five writers slip modern rut narrative fatality . ''"
of narrative banality,0,'of narrative fatality '
bad,0,'bad '
"'m sure the filmmaker would disagree , but , honestly , I do n't see the point",0,"`` 'm sure filmmaker would disagree , , honestly , n't see point ''"
"honestly , I do n't see the point",0,"`` honestly , n't see point ''"
clunky TV-movie approach,0,'clunky tv movie approach '
"Thanks largely to Williams , all the interesting developments are processed in 60 minutes -- the rest is just an overexposed waste of film .",0,"'thanks largely williams , interesting developments processed 60 minutes rest overexposed waste film . '"
the rest is just an overexposed waste of film,0,'the rest overexposed waste film '
is just an overexposed waste of film,0,'is overexposed waste film '
an overexposed waste of film,0,'an overexposed waste film '
an overexposed waste,0,'an overexposed waste '
"Comes across as a relic from a bygone era , and its convolutions ... feel silly rather than plausible .",0,"'comes across relic gone era , convolutions . feel silly rather plausible . '"
"as a relic from a bygone era , and its convolutions ... feel silly rather than plausible",0,"'as relic gone era , convolutions . feel silly rather plausible '"
Run for your lives !,0,'run lives ! '
Run for your lives,0,'run lives '
makes your teeth hurt,0,'makes teeth hurt '
Its generic villains lack any intrigue -LRB- other than their funny accents -RRB- and the action scenes are poorly delivered,0,'its generic villains lack intrigue lrb funny accents rr action scenes poorly delivered '
Its generic villains lack any intrigue -LRB- other than their funny accents -RRB- and,0,'its generic villains lack intrigue lrb funny accents rr '
Downright transparent is the script 's endless assault of embarrassingly ham-fisted sex jokes that reek of a script rewrite designed to garner the film a `` cooler '' PG-13 rating .,0,`` downright transparent script 's endless assault embarrassing ham listed sex jokes week script rewrite designed garner film cooler `` pg 13 rating . ''
is the script 's endless assault of embarrassingly ham-fisted sex jokes that reek of a script rewrite designed to garner the film a `` cooler '' PG-13 rating .,0,`` script 's endless assault embarrassing ham listed sex jokes week script rewrite designed garner film cooler `` pg 13 rating . ''
is the script 's endless assault of embarrassingly ham-fisted sex jokes that reek of a script rewrite designed to garner the film a `` cooler '' PG-13 rating,0,`` script 's endless assault embarrassing ham listed sex jokes week script rewrite designed garner film cooler `` pg 13 rating ''
is the script 's endless assault of embarrassingly ham-fisted sex jokes,0,`` script 's endless assault embarrassing ham listed sex jokes ''
endless assault,0,'endless assault '
embarrassingly ham-fisted sex jokes,0,'embarrassing ham listed sex jokes '
impossible,0,'impossible '
goes overboard with a loony melodramatic denouement in which a high school swimming pool substitutes for a bathtub .,0,'goes overboard loon melodramatic denouement high school swimming pool substitutes bathtub . '
"directed , barely ,",0,"'directed , barely , '"
's lazy for a movie to avoid solving one problem by trying to distract us with the solution to another,0,`` 's lazy movie avoid solving one problem trying distract us solution another ''
lazy for a movie,0,'lazy movie '
"of its music or comic antics , but through the perverse pleasure of watching Disney scrape the bottom of its own cracker barrel",0,"'of music comic antics , perverse pleasure watching disney scrape bottom cracker barrel '"
Disney scrape the bottom of its own cracker barrel,0,'disney scrape bottom cracker barrel '
Scarcely worth a mention apart from reporting on the number of tumbleweeds blowing through the empty theatres graced with its company .,0,'scarcely worth mention apart reporting number tumbleweeds blowing empty theatres graced company . '
Scarcely worth a mention apart from reporting on the number of tumbleweeds blowing through the empty theatres,0,'scarcely worth mention apart reporting number tumbleweeds blowing empty theatres '
Scarcely worth a mention,0,'scarcely worth mention '
Scarcely worth,0,'scarcely worth '
apart from reporting on the number of tumbleweeds blowing through the empty theatres,0,'apart reporting number tumbleweeds blowing empty theatres '
on the number of tumbleweeds blowing through the empty theatres,0,'on number tumbleweeds blowing empty theatres '
of tumbleweeds blowing through the empty theatres,0,'of tumbleweeds blowing empty theatres '
tumbleweeds blowing through the empty theatres,0,'tumbleweeds blowing empty theatres '
"`` Analyze That '' is one of those crass , contrived sequels that not only fails on its own , but makes you second-guess your affection for the original .",0,"`` analyze `` one class , contrived sequels fails , makes second guess affection original . ''"
"Analyze That '' is one of those crass , contrived sequels that not only fails on its own , but makes you second-guess your affection for the original .",0,"`` analyze `` one class , contrived sequels fails , makes second guess affection original . ''"
"'' is one of those crass , contrived sequels that not only fails on its own , but makes you second-guess your affection for the original .",0,"`` `` one class , contrived sequels fails , makes second guess affection original . ''"
"is one of those crass , contrived sequels that not only fails on its own , but makes you second-guess your affection for the original .",0,"'is one class , contrived sequels fails , makes second guess affection original . '"
"of those crass , contrived sequels that not only fails on its own , but makes you second-guess your affection for the original",0,"'of class , contrived sequels fails , makes second guess affection original '"
"those crass , contrived sequels that not only fails on its own , but makes you second-guess your affection for the original",0,"'those class , contrived sequels fails , makes second guess affection original '"
"those crass , contrived sequels",0,"'those class , contrived sequels '"
"crass , contrived sequels",0,"'class , contrived sequels '"
"that not only fails on its own , but makes you second-guess your affection for the original",0,"'that fails , makes second guess affection original '"
"fails on its own , but makes you second-guess your affection for the original",0,"'fails , makes second guess affection original '"
fails,0,'fails '
's not a particularly good film,0,`` 's particularly good film ''
"is -RRB- the comedy equivalent of Saddam Hussein , and I 'm just about ready to go to the U.N. and ask permission for a preemptive strike .",0,"`` rr comedy equivalent adam hussain , 'm ready go u.n. ask permission preemptive strike . ''"
"is -RRB- the comedy equivalent of Saddam Hussein , and I 'm just about ready to go to the U.N. and ask permission for a preemptive strike",0,"`` rr comedy equivalent adam hussain , 'm ready go u.n. ask permission preemptive strike ''"
is so consistently unimaginative that probably the only way to have saved the film is with the aid of those wisecracking Mystery Science Theater 3000 guys .,0,'is consistently imaginative probably way saved film aid wisecracking mystery science theater 3000 guys . '
is so consistently unimaginative that probably the only way to have saved the film is with the aid of those wisecracking Mystery Science Theater 3000 guys,0,'is consistently imaginative probably way saved film aid wisecracking mystery science theater 3000 guys '
A mawkish self-parody that plays like some weird Masterpiece Theater sketch with neither a point of view nor a compelling reason for being,0,' mawkish self parody plays like weird masterpiece theater sketch neither point view compelling reason '
"Takes one character we do n't like and another we do n't believe , and puts them into a battle of wills that is impossible to care about and is n't very funny",0,"`` takes one character n't like another n't believe , puts battle wills impossible care n't funny ''"
do n't like,0,`` n't like ''
